,stt_time,stt_word
0,00:29,"안녕하세요. 안녕하세요. 나연 님 하이하이 안녕하세요 소이 소이 님 안녕하세요. 
아이싱 이상한 특가 저희 아이싱 편으로 준비를 하고 있고요 여러분 어서 어서 들어오십시오 안녕하세요. 
벌써 주문을 계속 이렇게 하고 계시네요. 
여러분 선착순 상품 계속 노리고 계신 것 같고요 벌써 500분 먼저 들어오시면서 시작합니다. 
안녕하세요. 유다하다 님 안녕하세요. 
안녕하세요."
1,01:00,"로랑 님 안녕하세요. 킴 님 안녕하세요. 
오늘은 조금 차분하게 저희가 하면서 좀 여러분들하고 소통하면서 제가 댓글을 열심히 읽으면서 좀 방송을 해보겠습니다. 
오늘 외롭게 혼자 나타난 디비 언니입니다. 
안녕하세요. 여러분 안녕하세요. 쿨 토퍼 할인가 맞나요. 
바비 님 네 맞습니다. 오늘 쿨토퍼도 있고요."
2,01:22,"오늘은 이상한 특가 요즘 또 우투드 형우 엄청 네. 
핫하죠. 여러분 그래서 저희가 이상한 특가로 올오 8월에 시리즈 블로 지난주에 인견 편 오늘은 아이싱 편 다음 주는 낮잠 이불편 요렇게 해가지고 이상한 특가로 저희가 시리즈로 이렇게 준비를 하고 있고요. 
오늘은 아이싱 가장 핫한 아이싱으로 준비 다"
3,01:45,"알겠습니다. 여러분 어서 들어오십시오 아이싱 라인으로 거의 전 상품 오늘 다 핫트가로 구매하실 수 있고 특화 중인 상품들은 바로 밑에 저희 상품 특가 중에 상품 이렇게 쭉 적혀 있거든요. 
거기서 보시면 되는데 토퍼도 있습니다. 
아기가 아이싱 베개를 에서만 자서 패드 사러 왔어요. 
쪼냥이 님 늦지 않았습니다. 네 감사합니다. 
쿠폰은 없나요. 오늘 기본 찜 쿠폰과 기본 톡톡 친구 쿠폰"
4,02:15,"있고요 추가 쿠폰은 따로 없고 기본으로 할인가 그다음에 선착순 사호품 준비해 놨습니다. 
구매 완료 구매 완료 벌써 구매 완료 많이 해주시고 계시고요. 
벌써 기다려서 일단 구매부터 완료 크리스타 님 잘 알고 계시네요. 
저희가 직전 방송에 또 사업품이 10분도 채 안 돼서 그냥 끝나버렸기 때문에 만약에 나는 상호품을 꼭 드템 할 거야라고 하시면"
5,02:40,"먼저 선 구매 후 결정하시고 저한테 설명 들으시고 하시면 될 것 같고 만약에 나는 사업품에 연연하지 않아도 돼 하시면 좀 설명 듣고 구매하셔도 될 것 같아요. 
네 안녕하세요. 쿨 토퍼 퀸 19만9천 원 맞나요. 
쿨 토퍼 퀸이 19만9천원 가격 한번 확인해서 답변 좀 달아주시기 바랍니다. 
까브리 양녀 님 안녕하세요. 구매 관련 우리 비비엔나는 진짜 이름"
6,03:07,"방송과 시작과 동시에 구매 완료만 계속 올라오면서 시작을 합니다. 
여러분 본격적으로 제가 좀 인사를 드리고 시작을 하겠습니다. 
안녕하세요. 안녕하세요. 네 db엔다에서 마케팅 담당하고 있고요 저 29개월 구름이 키우고 있는 고름이 엄마 비비언입니다. 
안녕하세요. 이미 완료했어요. 라떼 님 감사합니다. 
네"
7,03:32,"구매 완료 구매 완료 지금 가격 부분 관련해가지고 문의가 많으신 것 같아서 제대로 다 변경된 거 맞죠. 
네 네 네 구매 지금 하트가로 가격은 다 변경이 됐다고 하고요 오늘 혜택이랑 가격 먼저 그러면 빨리 정리를 해드리고 갈게요 왜냐면 지금 가격 맞나요라고 문의를 많이 해주셔가지고 저희가"
8,03:56,"지금 오늘 저희가 아이싱 전 라인 준비를 하고 있고요. 
아이싱 기본으로 쿨 패드 쿨 매티 요 2개가 가장 메인 상품입니다. 
요 2개 상품에는 지금 선착순 300분께 드리는 여름 이불 증정 이벤트 지금 옵션에 선택되어 있으니까요. 
이거 잘 옵션에서 꼭 선택해서 구매하시면 좋으실 것 같고요. 
지금 보시면 쿨 패드 쿨 패드는 그냥 패드입니다. 
쿨 패드는 특대용 5만 6천 원"
9,04:24,"요 5만 6천 원이 평상시에 저희가 이제 소비자가는 9만 5천 원이고 아무리 인터넷으로 최저가 찾아고 비비엔다 최저가 찾아도 한 6만 원대 이렇게 나올 거예요. 
근데 오늘 핫트가로 라이브 특가 대만 가능한 가격 아시죠 여러분 항상 5만 6천 원인데 거기에 적립금 들어오시고 네이버 후기 포인트까지 돌아오면 5만 3천 원 정도까지 떨어지고요 체감가로 퀸 사이즈 기준으로 쿨패드 9만 3천 원까지 떨어집니다."
10,04:51,"결제하실 금액은 5만 6천 원 8만 9천 원 9만 9천원 요 정도 된다고 보시면 돼요. 
쿨 매트 상품 요거는 이제 에어맨이 들어가고 미끄럼 방지 들어가서 미끄럼 반지 짱짱한 거 원하시는 분들이 선택하시는 상품이고요. 
콜 패드는 2중 구조 쿨 매트는 4중 구조 요렇게 해서 상품이 조금 다릅니다. 
사이즈 유아 특대형 슈퍼싱글 퀸 요렇게 준비를 해놨고 유아 특대형은"
11,05:15,"소비자가 12만9천 원인데 아무리 평소에 네이버 최저가 검색하셔도 89만 원대밖에 못 보셨을 텐데 오늘 라이브 하트가로 7만9천원 저희가 세팅해놨고 그다음에 오늘 네이버 포인트 적립 있기 때문에 적립 받으시고 포톡이 작성하시고 이렇게 하시면 체감가 7만 4천원대까지 떨어집니다. 
그다음 퀸 사이즈로 쿨매트 하시면 11만9천원 결제가 11만 2천원 정도가 체감가가 되실 것 같아요."
12,05:40,"요 체감가는 고객님들마다 네이버 멤버십이나 요런 가입 유무에 따라서 조금 달라질 수 있는 부분만 좀 참고를 부탁드리고 저희는 최대값으로 이렇게 안내를 드렸습니다. 
그래서 메인 상품 쿨 패드 쿨 매트 준비해놨고 요거는 사은품 걸려 있습니다. 
여러분 사은품 꼭 확인하시고요. 그다음에 아까 쿨토포 있나요라고 물어보셨는데 쿨토포는 지난 방송에는 물량이 없어서 못했는데 오늘은 그래도 아이싱 마지막 특가라 쿨토포까지 싹싹 그러고 왔고요"
13,06:09,"유아 특대형부터 퀸 사이즈까지 아까 19만9천원이냐고 물어보셨는데 지금 17만9천원이에요. 
네 콜 퍼퍼 퍼퍼 플러스 커버까지 다 해서 아이싱 커버까지 다 해서 결제하시는 금액이 17만 9천 원이신 것 같고요 그다음에 네이버 적립금 최대치로 받으시고 또 후기 받으면 16만 원대까지 떨어집니다."
14,06:31,"요거 제가 콜릭 토퍼 좀 이따가 실물로 한번 좀 보여드릴게요 근데 요 토퍼가 그냥 토퍼만이 아니고 토퍼가 저희가 탄탄 토퍼 따로 있고 거기에 아이싱 커버까지 다 포함한 가격이 이 가격입니다. 
그다음에 요거 출시하고 요것도 인기 굉장히 많았는데 아이싱 원형 러그 아이싱 미니 바디 필로우 그다음에 아이싱 100개까지 3종 세트까지 이렇게 되고요 나는 러그 비비엔다 원형 러그 순면으로 쓰고 있어 하면 커버만도 오늘 사실 수 있고요"
15,07:00,"나는 바디필로우도 비비엔다 거 순면으로 된 거 이런 거 쓰고 있어 하면은 아이싱으로 커버만 사실 수도 있습니다. 
오늘 요거 요런 것들 다 커버만 도 사실 수 있는데 커버만 하셔도 하틀가루 하셨기 때문에 오늘 가격 아이싱으로 내가 뭔가를 살래 하면 오늘이 제일 가격이 굉장히 좋다는 거 참고해 주시면 좋을 것 같고요 지금 선착순 300분 지난번에 저희가 200분 걸었나요. 
200분 걸었더니 10분도 안 돼서 끝나버려가지고 너무 허무해들 하셔서 오늘 300분 걸어놨고요. 
쿨 패드를 하시든 쿨 매트를 하시든"
16,07:34,"요런 그냥 쿨 패드로 특대형 조그마한 거 5만 원대 요런 거 하셔도 블랭킷은 무조건 추가 상품에서 선착순 요거 선택을 하시면 갑니다. 
이게 지금 사실은 여러분들이 상품 하면은 별거 그냥 그냥 대충 저렴한 거 주겠지 하지만 저희는 2만 원 3만 원에 실제 판매하고 있는 상품 상품 전용으로 좀 더 사이즈 줄여가지고 그냥 원단 좀 싼 걸로 대충 만든 게 아니고 원래도 2만 원 3만 원대 파는 걸 드리기 때문에 이 사업품 굉장히 치열합니다. 
여러분 오늘도 선착순 상품 300분 가져가시기를 바라고요"
17,08:10,"그래서 이렇게 요렇게 인견 블랭키 꼭 선택을 옵션을 하셔야 받으실 수 있다는 거 그다음에 오늘 이상한 특가가 왜 이상한 특가냐 왜냐하면 이상한 전화가 가요. 
자꾸 여러분 스팸 하지 마세요. 스팸 처리하지 마세요. 
저희가 저번에 인간편도 다섯 분한테 전화를 드렸어요. 
한 두 분한테는 전화해갖고 갑자기 갑자기 우리가 인간편"
18,08:36,"전화 받으신 분들 저희가 전화 그리고 통화까지 녹음해가지고 올려드렸는데 혹시 보셨죠. 
좀 당황하시더라고요 왜냐면 갑자기 주문했는데 전화가 와 비비엔다에서 그냥 물건만 보내면 될 건데 갑자기 전화 와가지고 어"
19,08:53,"고객님 그냥 환불해드릴게요 물건은 보내드리고 환불해 드릴게요 그래서 공짜 찬스 두 분 드렸고 그다음에 이제 두 분 정도한테는 하나 더 드릴게요 그랬어요. 
그래서 오늘 이상한 특가의 메인 타이틀에 맞게 저희가 이상한 혜택을 다섯 분 정도 주면 혜택 누구한테 전화 갈지 몰라요 우리 말이야 그건 랜덤입니다. 
그래서 이것도 저희가 인스타 통해서 또 인증을 할게요 우리가 이렇게 전화를 했다. 
실제로 이게"
20,09:21,"우리가 가짜로 하는 게 아니고 그래서 그런 것까지 참여를 해 주시면 좋을 것 같고 그다음에 오늘 이벤트도 또 있어요. 
저희 지금 여기 여긴가요 여기 보시면 댓글 캡처 이벤트 저희가 방송 때마다 하고 있는데 두 분 정도 그냥 랜덤으로 좀 캡처를 해가지고 커피 쿠폰 줄이고 있고요"
21,09:41,"그거는 구매를 하시든 안 하시든 상관없이 저희가 드리기 때문에 오늘 그냥 그냥 애기 어린이집 보내놓고 애기 재워놓고 그냥 놀러 오신 분들도 참여해 주시면 저희가 커피 쿠폰 두 분 랜덤으로 쏴드릴게요 구매 인증 이벤트 지금 많이 올라올라오고 계신데 구매했어요. 
구매했어요. 구매 완료요라고 올려주고 계신데 요렇게 올려주시면 돼요. 
지금 쪽주 님 잘하고 계세요. 이상한 특가 흥이라 네"
22,10:11,"미미 님 잘하고 계세요. 주문번호를 복사를 해서 나 샀어요. 
나 언니 언니 믿고 샀어요라고 이렇게 올려주시면 저희가 방송 말미에 5분 정도 추첨을 해가지고 요 바디 필러 요것도 사실은 요거는 우리가 이렇게 잘 나갈지 모르고 그냥 아이싱으로 이게 죽부인 같은 거 아기 죽부인도 하나 있으면 좋겠다 해서 출시를 했는데 이게 진짜"
23,10:36,"처음에 첫 방송 때는 막 완판하고 막 난리가 났어요. 
이거 없어서 지금 못 팔고 있는 요거를 구매 인증할 때 두 분을 드리도록 하겠습니다. 
요거 구매하신 분들 역시 사봐야 안다라고 하시는 분들 굉장히 많아요. 
왜냐하면 우리 애가 막 신생아가 아니라서 막 뒤집기 하고 이런 거 아니라서 굳이 안 샀대 근데 애가 좋아할 것 같아서 하나 사봤는데 제가 후기를 봤더니 애가 이걸 이렇게 안고 잘 자고 있더라고요 그래서 애가 너무 좋아해서 사기를 잘했다. 
그래서 애들이 좀 커도"
24,11:06,"왜 우리가 어른들도 마찬가지지만 긴 쿠션 같은 거 요렇게 딱 하고 발 끼고 이러고 자면 좀 안정감이 느껴지잖아요. 
근데 여기 지금 허벅지가 시름다 이거 이게 지금 아이싱으로 만들어서 그래서 시원한 바디필로 유아용으로 요거 구매 인증 2 분 네 쿨매트 세탁기 가용한 사용 가능한가요 물론입니다. 
지금 아이싱 제품들 전부 다 다 그냥 세탁기에 팍팍 돌리시면 되고 울 코스로 돌리시면 되는데 다만 건조기만 사용하실 수 없습니다."
25,11:41,"네 네 벌써 제가 구성을 설명드리고 왔더니 벌써 1천 분이 들어와 계시네요. 
아까 500분이었는데 벌써 들어와 계시고 둥이라서 2세트 구매했어요. 
벽주 님 감사합니다. 네 오늘 저희가 사실은 방송을 할까 말까 고민했어요. 
왜냐면 인견은 저희가 굳이 방송을 안 했던 게"
26,12:02,"아니 유명한 거 다 알고 어차피 비비엔다는 사실 여러분들이 그냥 이쁘네 해서 그냥 막 그냥 충동 구매하는 상품들이 아니잖아요. 
이미 고민할 거 다 고민하고 따져볼 거 다 따져보고 검색할 거 다 검색해보신 분들이 마지막에 오는 게 비비엔다잖아요. 
그래서 사실은 이미 마음의 결정들을 다 하시고"
27,12:24,"그런데 기왕 살 거 핫딜로 제가 항상 말씀드리죠 유아용품은 기왕 살 거 핫딜로 그래서 저도 사실은 워킹맘인데 기저귀 물티슈 이런 거 진짜 핫딜 조금 할 때 엄청 찾아서 사는 것 같아요. 
그래서 이미 비비엔다 거가 좋다는 거 이미 다 선배 엄마들 우리 주위의 엄마들이 다 야 그거 진짜 좋더라 해서 마음의 결정은 다 끝내놓고 언제가 셀까를 고민한단 말야"
28,12:51,"같은 상품을 기왕이면 언제 조금 더 혜택 좋을 때 할인 좋을 때 할 때 사냐 이게 고민하신단 말이에요. 
그래서 비비엔다 라이브는 항상 할 때마다 저희가 완판하고 막 이렇게 하는 게 기다렸다 사시는 분들이 워낙 많아서 네. 
그래서 쿨 패드 쿨 매트 상품 끝 여러분 300분 끝났습니다. 
죄송합니다. 방송 13분 딱 걸렸네요. 
300분 저희 죄송한데 항상 이럽니다. 
그래서 저희가 선착순을"
29,13:18,"2천 명 3천 명 걸어놓기에는 그렇다고 상황 폭 너무 싼 게 아니라서 어쩔 수가 없는데 사은품이 끝났대요 쿨패드 쿨매트 쿨 포 포인은 남아 있다고 하네요. 
300분 벌써 끝났어 당황스럽네 매번 느끼지만 당황스럽네요. 
여러분 그래서"
30,13:37,"저희가 구매 인증 이벤트 지금 열심히 참여하고 계신데 방송 보시고 기왕이면 오늘 방송 보시고 구매하시면 되는데 제가 무슨 말 하다가 사업품이 끝나가지고 지금 당황해가지고 여러분 지금 구매 인증 때문에 질문을 못 받고 있어요. 
여러분 캡처 이벤트는 어떻게 하는가 하면 mk 님"
31,14:01,"제가 아까 설명드렸는데 구매를 하시든 안 하시든 좀 이따 제가 캡처 이벤트 할게요 하면은 그때 댓글을 남겨주시면 캡처해서 제가 두 분 사용품 드립니다. 
네 네 이상한 특가 흥해라 뿅주 님 네 감사합니다. 
당첨되고 싶어요. 여러분 지금 구매 인증하신 분들은 사용품 다 가져가셨죠. 
네 우왕 당첨된 30300분 안에"
32,14:28,"들었다고 감사합니다. 아이싱 너무 시원해요. 
수 님 감사해요. 감사합니다. 또니 님 구매 완료 구매 완료 네 그래서 이렇게 구매 완료해 주시면 저희가 방송 말미에 두 분 정도 추첨해서 할 거고 이제 천천히 보여드릴게요 왜냐면 우리가 이 방송을 할까 말까 고민을 했던 이유가 아까 말씀드렸지만 이미 다 알고 보는 방송이시고 이미 비비엔다고 사야 돼"
33,14:55,이건 이미 국민템이야 이건 이미 엄마들 사이에서 그냥 입소문 다 끝났어 하는 상품이었기 때문에 굳이 상품을 더 보여드릴 이유가 있을까라고 생각을 해서 방송을 할까 말까 고민을 했는데 그래도 아직 초보맘이신 분들 또 오늘 들어오신 분 중에는 10월 11월 이럴 때 출산하시려고 이제 출산할 때 출산 준비로 들어오시고 나는 초보 엄마라 비비엔드 아직 몰라 유명한 건 아는데 자세히 몰라
34,15:23,"또는 유명한 건 아는데 뭘 사야 될지 패드 사야 되는지 매트 사야 되는지 몰라 하시는 분들이 계실 것 같아가지고 오늘 방송을 준비를 했고 아이싱은 이제 여름이 거의 다 끝나가는데 사실 쿨 매트가 여름이 끝나가서 행사는 오늘이 마지막입니다. 
근데 사실상 쓰는 거는 9월 10월까지 쓰실 거예요."
35,15:45,"네 그래서 지금부터 구매를 하셔도 10월 정도까지는 보통 쓰시고요. 
그다음에 오늘 주문하시는 분들 중에 사실은 이미 하나 쓰고 있는데 한 장 갖고 부족하더라 왜 세탁할 때 그 잠시도 애들이 못 참고 엄마 그 시원한 거 어딨어 그 시원한 거 어디 갔어 엄마 왜 빨았어 한단 말이에요. 
그래서 오늘 서브 욕을 하나 더 구매하실 분들이 들어오시는 것 같아요. 
그래서 오늘 잘 구매해 주시면 될 것 같고 오늘 그러면 상품부터 먼저"
36,16:14,"뭐뭐 준비를 해놨냐면요. 여러분 지금 여기 깔려있는 게 콜 매트예요. 
콜 매트 그다음에 여기 깔려있는 게 패드입니다. 
요 2개의 차이점 제가 늘 궁금하신 분들이 많아서 나 패드 사요 매트 사요라고 궁금하신 분들이 많아서 조금 이따 잘 비교를 해드릴 거고 여기 지금 제가 깔아놓은 게 쿨 토퍼입니다."
37,16:36,"쿨 토퍼는 요렇게 토퍼예요. 완전 두툼합니다. 
네 그래서 요 쿨 토퍼까지 오늘 준비를 해놨고 라인업 한번 쭉 설명을 해드리고 가야 될 것 같아요. 
뭘 사야 될지 모르시는 것 같아서 그다음에 원형 러그 요거 출산 선물로도 너무 좋고 또 내가 출산을 준비하는 분들도"
38,16:59,"원형 머그 많이 사시잖아요. 왜냐하면 아기 거실에다 눕혀놓을 때 보통 그래서 저희 원형 럭은 또 기가 막히거든요. 
안에 속이 정말 두툼하고 폭신폭신하고 너무 폭신하지 않고 너무 단단하지 않아서 너무 좋거든요. 
그래서 요 원형 러그도 오늘 아이싱 커버로 쫙 해가지고 만든 상품으로"
39,17:18,"네 특가로 준비를 해놨고요 그다음에 바디필로우 요거 요거 준비해놨고요 이제 상품이 뭐 뭐 있는지 한번 쭉 보여드리려고요 왜냐하면 큰 패드만 샀어 근데 나중에 보니까 나 바디 필로 있는지 몰랐는데 해가지고 이거 나중에 이제 추가 구매하면 배송비는 환불이 되나요. 
이렇게 문의를 하시기 때문에 라인업 쭉 설명해드릴 테니까 살 때 한 번에 사세요. 
여러분"
40,17:45,"그다음에 그리고 상호 품이 어차피 끝났으니까 그다음에 요 듀얼 와이드 베개 애기들 듀얼 와이드 베개는 한 명은 아이싱 한면을 수면으로 만들었기 때문에 여러분들이 요거는 사계절 내내 쓰고 양면으로 쓰고 너무 좋다. 
그래서 요것도 지금 오늘 준비가 되어 있고요 그다음에 내가 어제 이거"
41,18:07,"핫 핫딜 방이래 저기 인스타 올렸더니 엄마들이 난리 났어 있는 줄 모르셨대 요거는 우리 어른들도 아이싱 좀 쓰자 그래가지고 이거는 하도 요청이 많아가지고 올여름에 사실 나왔는데 이게 있는지 없는지 여러분들이 모르시는 이유가 우리가 특가를 아예 못했어요. 
왜냐면 콜 페드랑 콜매트랑"
42,18:30,"주문량이 너무 많아서 그거 만드느라고 공장이 아주 초토화였기 때문에 요 베개 커버는 딱 한 번 신상품 런칭할 때 해드리고 두 달간 한 번도 행사를 못했던 건데 오늘 아이씬 특집전이기 때문에 요것도 오늘 준비를 해놨고 요거 오늘 19900원이에요. 
여러분 요거 오늘 1만9900원이고 만약에 나는 아이싱 있을 만큼 있고 다 샀어"
43,18:51,"근데 오늘 그냥 또 뭐 살 거 없나 들어오셨어 하면은 베개 커버 만약 요거 없으시면 오늘 이거 하트 가니까 요것도 득템하시면 좋을 것 같고 요거 좀 이따가 상품 자세히 보여드릴게요 요거는 쿨매트 쿨패드는 겨울에는 이제 추워서 치워야 돼 너무 시원하니까 근데 베개는 사계절 쓰시면 좋아요. 
왜냐하면 한겨울에도 온수매트를 틀고 자는 지연정"
44,19:15,"정말 막 극세사 입을 따뜻하게 덮어도 이 머리가 시원하면 너무 좋거든요. 
머리가 이렇게 시원하면 너무 좋거든요. 
그래서 요거 어른용 베개 커버 사실 분들은 요거는 사계절 너무 강추 강추 템 그래서 요거까지 저희가 오늘 라인업 쭉 준비를 해놨습니다."
45,19:35,"엘리에셀린 블링키 품절이 끝났어요. 아까 13분에 끝났습니다. 
예 근데 오늘 사실은 저희가 이제 마지막 특가이기는 하고 가격도 좋지만 이제 사실 여름이 거의 끝물이라서 이렇게 빨리 끝날 줄 몰랐네요. 
네 그러면 이제 본격적으로 설명을 해드릴게요"
46,19:55,"여러분 아이싱 아이싱이 뭔지 아시죠 나 이거 그냥 설명 안 할까 봐 왜냐면 다 아는데 뭐 하러 해 아니 아이싱이 그냥 여러분들이 쿨 매트 하면 아이싱 아이싱은 그냥 아이싱 아이싱 그냥 엄마들이 요즘은 쿨매트 뭐가 좋더라 브랜드가 좋더라 하지 않고 그냥 아이싱이더라 아이싱 핫티를 언제 하냐 아이싱 언제 살 수 있냐 아 이렇게 고유 명사가 돼버렸어요. 
여러분들이 진짜 근데 그 이유가"
47,20:27,"그냥 저희는 사실 비비엔다가 딱히 마케팅을 어디 광고 같은 데서 뜨는 거 본 적 있으세요. 
돈 주고 어디다 광고를 하는 회사가 아니에요. 
왜냐하면 그 광고비가 어쩔 수 없이 제품 값이 다 녹여 들어간단 말이에요. 
그럼 제품값이 비싸져요. 그래서 합리적인 가격을 위해서 저희가 어디다 돈 주고 어디 배너 광고하고 네이버에 키워드 검색 광하고 이런 거를 아예 안 하는 회사예요. 
돈 주고 광고를 아예 안 하는 회사인데"
