,stt_time,stt_word
0,00:53,안녕하세요. 안녕하세요.
1,00:56,"미우 님 안녕하세요. mg 오 님 안녕하세요. 
안녕하세요. 여러분 잘 들리시나요. 오늘 지난번에 제가 마이크가 좀 잘 안 나왔어 가지고 마이크를 잘 준비를 해서 왔는데 뿌리가 왜 이렇지 엔지 미용이 안 들리나"
2,01:15,안녕하세요.
3,01:26,제 거가 있을 거래요
4,01:27,매번 할 때마다
5,01:30,여러분 괜찮나요.
6,01:31,일하는데 한번 봐주세요. 많이 찌지 많이 찌질거리신다고 잠실
7,01:36,딱 했거든요. 네 괜찮아
8,01:40,이 여기에요. 저는 어때요 방송 시작부터
9,01:58,"안 괜찮아요. 안녕하세요. 블루밍 모덜 피드 깔맞춤 하러 왔어요. 
안녕 안녕하세요. 벌써 1500 있어요. 
시작도 안 했는데 오늘 소리가 시즈 거려서 안 들려요."
10,02:12,해야 돼요 그렇죠
11,02:15,제가
12,02:16,머리를 이렇게 크게 할게요 여러분 잠깐만요
13,02:26,"그리고 저희가 소리를 크게 하면 괜찮으실 것 같아가지고 파인 님 소리 너무 찌직거려 죄송해요. 
네 지금 잘 들리시는지 한번 봐주세요. 
괜찮나요. 네 이게 더 나아요. 네 마이크 없이 하겠습니다. 
저희가 목소리가 오늘 터지는 한이 있더라도 안녕하세요. 
안녕하세요. 반갑습니다. 이제 괜찮아요. 
네 마이크 없이 생 목소리예요."
14,02:49,"목소리 네 저희가 오늘 크게 방송하면 되니까요. 
잘 들려요. 마이크 없이 생 목소리가 잘 들리신다고 네 안녕하세요. 
네 방송 시작과 동시에 조금 당황하면서 시작을 해야 될 것 같아요. 
네 인사드리고 시작하겠습니다. 안녕하세요. 
안녕하세요. 안녕하세요. 네 저는 비비엔다에서 마케팅 담당하고 있는 비비언입니다. 
안녕하세요. 안녕하세요. 저는 11살 아들을 키우고 있는 코카요 네 코카 언니 오늘도 코카 언니와 함께합니다. 
지현 2 님 자이언트"
15,03:20,"안녕하세요. 저 댓글 조금만 키워주세요. 
싱나 님 안녕하세요. 안녕하세요. 비비 언니 안녕하세요. 
감사해요. 오래 기다리셨어요. 오래 기다리셨어요. 
네. 제가 오늘 더퍼조 특가로 해가지고 이제 날씨가 오늘 그래도 다행히 조금 따뜻한데 이제 진짜 본격적으로 겨울이 될 거거든요. 
소리 괜찮아요."
16,03:42,"네 소리 괜찮아요. 그래서 제가 오늘 마이크가 조금 상태가 안 좋은 관계로 샘 목소리로 방송을 한번 해보도록 하겠습니다. 
이거 이거 마이크를 하나 켜가지고 저희가 여기다 하나 놓고 괜찮으면은 그렇게 한번 해볼게요 한번 봐주시기를 바래요 네 마이크가 정말 말썽이네요."
17,04:06,이렇게 해서
18,04:07,저희 여기서
19,04:09,방법을 한번 해보도록 하겠습니다.
20,04:15,"네 감사합니다. 아니에요. 집 거를 또 다시 괜찮아요. 
괜찮아요. 네 그러면 안 돼요 안 돼요 죄송해요. 
오늘 마이크 네 안 되겠습니다. 네 없는 게 나아요. 
감사합니다. 죄송해요. 네 빠른 소리 또 찢을 거래요"
21,04:32,"목소리 그냥 생 목소리로 하도록 하겠습니다. 
네 오늘 더퍼조 특가로 해가지고 이제 날씨가 추워지니까 우리에게 아직도 쿨매트 쓰시는 분들이 많아요. 
아직도 비엔나 아심 못 버리시는 분들 많은데 인제는 바꿔줘야 할 때 그래서 이제 우리 아기들 좀 따뜻하게 덮어줄 이불을 필요하셨던 분들 저희가 이제 오픈 특가도 한번 하고 이렇게 하기는 했지만 이제 아직도 고민 중이신"
22,04:56,"분들을 위해서 오늘 더퍼조 특가로 더플 상품들 위주로 해가지고 쫙 한번 비교 분석해드릴게요 여러분들이 잘 보고 우리한테는 요게 딱이다 하는 상품으로 구매를 해 주시면 좋을 것 같고 구매 방법 한번 좀 설명을 해드릴까 봐요. 
일단은 오늘 네. 오늘 지금 이렇게 들어오시면"
23,05:21,"오늘 특가 중인 상품들이 요렇게 더 보기 안에 이렇게 있습니다. 
오늘 오늘 특가 중인 상품은 일단 다우니퍼 블랭키 다운 니퍼 블랭킷 그다음에 순수 다운 니퍼 요건 모달 다운 니퍼 요거는 순수 다운 니퍼로 저희가 준비를 해놨고 그다음 차렵 이불 그다음에 이거는 유아용 차렵 리블 요거는 슈퍼 싱글 사이즈 차렵 리블"
24,05:46,"그래서 나는 다운 니퍼 할래 그러면 모달이나 순수 중에 선택을 하시면 될 것 같고 나는 차렵 이불 할래 그러면 유아용 할 건지 슈퍼 싱글 사이즈까지 하실 건지 선택하시면 될 것 같고 그다음에 이중 거즈 블랭킷 사중 거즈 블랭킷 요렇게 있고요. 
그다음에 만약에 극세사 블랭키까지 이렇게 덮어줘 상품들입니다. 
근데 나는 만약에 기왕이면 세트로 살라고 그랬는데 오늘"
25,06:09,"패드나 토퍼나 이런 게 핫 일이 없기 때문에 난 기왕이면 세트 사려고 했는데 하시는 분들을 위해서 패드나 요 토퍼는 오늘 핫딜이 아니지만 덮어주만 핫들이지만 오늘 이렇게 세트까지는 같이 하트로 넣어놨습니다. 
그래서 패드에 찰업 이블의 베개 토포에 다운 니퍼 블랭킷의 베개 요렇게 해서 요거까지는 저희가 특가로 오픈을 해놨기 때문에 오늘 구매하실 상품을 설명 잘 들어보시고 하면 좋을 것 같고 그리고 사은품 한번 설명해드릴 건데요."
26,06:39,"오늘 지금 선착순 400분 저희가 상온품을 걸어놨거든요. 
그래서 만약에 나 다운 니퍼 블랭킷 할래 그러면 요걸 누르세요. 
그러면 이제 다운 니퍼 블랭킷이 쫙 나옵니다. 
네 나옵니다. 국민템으로 선정된 우리 다우니퍼 블랭키 그래서 요거 구매하기 누르고 나는 mr mrlrl m 사이즈 작은 거 할래 블루밍 할래 이렇게 한 다음에 여기 보시면 선착순 사은품 이중 거즈 스카프 빕 요거 있어요. 
요걸 딱 누르면"
27,07:06,"블랭킷 하나 29900원인데 스카 부피까지 공짜로 가져가시는 겁니다. 
요거가 저희가 선착순 400분이기 때문에 엄청 빠르게 끝날 것으로 예상이 돼요. 
네 그리고 사은품은 꼭 저 옵션을 선택해 주셔야 되세요. 
선택을 안 하시면 사용품이 안 나가니까 네 꼭 선택해 주시고 수량 2개 구매하시면 사은품도 2개 네 만약에 나는 다운 니퍼 2개 했다. 
그러면 스카프도 2개 하셔야 돼요 네 그래서 그렇게"
28,07:34,"상품 선택해 주시면 좋을 것 같고요. 
여러분 저의 목소리가 저에게 긴장감이 떨어져서 목소리가 좀 줄어든다 그러면 말을 해주세요. 
왜냐면 오늘 마이크 없이 생 목소리로 방송을 하고 있기 때문에 네 아주 신경 쓰이네요. 
스카프 및 선착순 400분은 진짜 빨리 끝나요. 
그래서 빨리 만약에 나는 사는품 상관없이 설명을 좀 듣고 할래 하시면 방송 다 보고 하셔도 되지만 나는 이미 뭐 살지 다 결정 끝나서 하시면 스카프"
29,08:00,"꼭 가져가세요. 왜냐하면 저희가 이제 겨울 시즌에 핫할 때만 스카 이 증정을 하자 해가지고 몇천 개를 만들어 놨는데 이것도 저희가 돈 주고 다 파는 거예요. 
사은품이라 그래서 그냥 따로 비매품 이런 거 만들어 놓은 거 아니고 스파포비를 다 파는 건데 우리 애기들 이제 어린이집 가면 다 겨울에 가을에 봄에는 여름 빼고는 아마 애들은 스커트는 필수예요. 
저는 이거 12장 갖고 있어요."
30,08:26,"왜냐면은 한 8장 갖고 매일 돌려 썼었는데 부족하더라고 왜냐하면 여기다 다 흘리니까 그래서 더 그 딱 좋아요. 
그 관절기에 애들 무조건 이거 필수거든요. 
근데 보통은 스카프를 또 요거 한 장 사려면 3천원 5천 원 줘야 되기 때문에 꽤 비싸거든요. 
요것도 10장 사면 3만 원이고 5만 원이잖아요."
