,제품명,카테고리,내용,별점,가격,감성점수
0,비비엔다 논슬립 인견 아기쿨매트 여름패드,만족도,일전에 쿨매트 구매해서 사용하던 중 추가로 구매했어요.  슈퍼싱글 사이즈 침대인데 범퍼가드를 씌워두니 슈싱사이즈 매트는 모서리랑 가장자리를 접어야만 하더라고요.  조금 작더라도 구김없이 쓸 수 있는걸로 보다가 특대형으로 구매하게 됐는데 폭은 딱 적당하게 맞고 길이는 위아래로 인형&베개 등을 놓으니 딱 좋아요.  인견소재라 쿨감도 있고 까끌거리지 않아서 엎드려서 자는 저희 아기 피부에 자극이 없어 좋아요.  세탁 후 금방 말라서 바로바로 교체해줄 수 있고 디자인도 넘 귀엽고요.  뒷면에는 미끄럼 방지 처리가 제대로 되어있어 침대위에서 구르고 뛰고 난리를 쳐도 밀리지 않아요.  색상은 화면보다 조금 옅은? 색감이고 베이비 핑크빛이 살짝 도는 아이보리?에 가까운 것 같아요.  디자인이며 품질이며  사용중입니다.  땀 많은 아기여서 사계절 내내 사용하려고요 ㅎㅎ,5,"59,000",0.7777777777777778
1,비비엔다 논슬립 인견 아기쿨매트 여름패드,만족도,열이 많은 아기라 주문했는데  제가 누워봐도 시원하고 좋더라구요!  가격도 괜찮구 맘에 들었어요  근데 아기가 좀 자면서 잘 긁는편인데  패드에 얼굴을 비벼서 상처가 낫더라구요ㅠㅠ  약간 꺼끌한편이라 그런가 그래서 요새는 잘 사용을 안하고 있어요 ㅜ 시원하고 ,4,"59,000",0.8
2,비비엔다 논슬립 인견 아기쿨매트 여름패드,만족도,애기가 열이많아. 구매했는데. 너무만족해요!,5,"59,000",0.3333333333333333
3,비비엔다 논슬립 인견 아기쿨매트 여름패드,만족도,아기용 구매 미리해서 지금사용해요 초가을인데 매트는 시원하게 하고 자는편임 매우만족해요,5,"59,000",1.0
4,비비엔다 논슬립 인견 아기쿨매트 여름패드,만족도,밝고 귀엽고 이쁘네요~ 원래도 비비엔다 쿨매트있는데 필요해서 하나 더 샀어요^^ 엄청 빨래 돌리고 건조기돌려도 멀쩡하고 퀄리티가 좋아요!!!,5,"59,000",1.0
5,비비엔다 논슬립 인견 아기쿨매트 여름패드,만족도,주문후1주기다린거같음  상품품절 관련으로 상담있었고 오배송이 있었으나 고객센터 대응 빠르고 불편하지않게 처리해주심 친절한 상담 및 빠른 교환 조치가 좋음 제품포장 깔끔하고 제품받아보니 ,5,"59,000",0.5
6,비비엔다 논슬립 인견 아기쿨매트 여름패드,만족도,빠른 배송 감사합니다,5,"59,000",0.0
7,비비엔다 논슬립 인견 아기쿨매트 여름패드,만족도,빠른 배송 감사합니다,5,"59,000",0.0
8,비비엔다 논슬립 인견 아기쿨매트 여름패드,만족도,빠른 배송 감사합니다,5,"59,000",0.0
9,비비엔다 논슬립 인견 아기쿨매트 여름패드,만족도,인견 쿨매트 좋아요! 확실히 그냥 인견보다 시원하고 너무더울땐 유모차 통풍시트 밑에다 깔아주면 바닥에 구멍이 송송 뚫려있으니까 바람이 잘나와서 더 좋아요ㅋㅋ 반면에 인견 블랭킷은 진짜 별로에요ㅠ 몇번 빨지도 않았는데 헤지고 너무 까끌거려요 서비스로 온 블랭킷이 부드럽고 ㅋㅋ,5,"59,000",0.75
10,비비엔다 논슬립 인견 아기쿨매트 여름패드,만족도,아이 1살 때 구매했었는데(아이스크림 모양 제품) 너무 만족해서 아이 침대용으로 사용하기 위해서 대규모입니다. 여름 철에는 시원하고 촉감도 좋아요.,5,"59,000",1.0
11,비비엔다 논슬립 인견 아기쿨매트 여름패드,만족도,열이 많은 아가라 날씨가 쌀쌀해져도 인견매트깔아요~ 쿨매트라 시원하고 밀리지않아 좋아요^^,5,"59,000",1.0
