시간,결제,시청자수,상품조회,장바구니,댓글수,찜
1,0,11,13,6,112,0
2,1,80,38,13,118,1
3,1,207,31,14,124,0
4,3,375,27,12,110,0
5,1,542,53,15,129,1
6,2,697,51,16,120,1
7,3,845,55,21,123,0
8,2,697,56,23,111,0
9,3,712,54,17,150,0
10,3,742,62,32,178,0
11,4,789,81,43,163,0
12,3,812,68,45,172,0
13,2,785,61,36,160,1
14,1,607,55,24,149,0
15,4,637,53,46,169,2
16,2,513,52,25,150,2
17,8,510,57,25,138,0
18,7,512,65,24,132,0
19,4,521,67,23,160,0
20,5,500,67,36,145,2
21,4,516,67,26,166,1
22,6,388,67,17,151,1
23,4,342,71,23,130,2
24,4,312,71,16,129,2
25,2,355,71,16,120,0
26,3,387,61,18,100,2
27,6,397,88,23,124,2
28,7,402,70,19,130,1
29,8,347,73,16,120,2
30,7,357,71,13,140,0
31,10,341,61,11,129,0
32,11,354,61,10,110,1
33,8,347,62,15,118,0
34,13,346,62,17,163,2
35,12,321,67,12,118,2
36,9,297,63,14,150,0
37,8,287,71,15,146,2
38,8,257,99,18,139,0
39,6,127,89,22,162,2
40,8,123,80,19,148,1
41,7,146,80,16,150,1
42,2,159,72,12,125,3
43,2,169,71,15,133,3
44,1,178,71,17,118,2
45,1,180,72,18,170,2
46,2,175,32,21,179,1
47,2,180,30,11,110,2
48,2,186,31,23,128,2
49,3,157,30,14,149,1
50,2,143,34,21,128,1
51,2,150,33,23,120,2
52,1,138,38,21,113,0
53,3,128,38,18,110,2
54,1,132,22,21,101,2
55,1,97,22,20,139,1
56,2,87,15,24,142,2
57,2,75,13,19,131,0
58,2,61,11,22,150,0
59,1,42,10,31,130,0
60,0,21,0,11,110,2
